arv, inheritance
avkortet evaluering, short-circuit evaluation
betingelse, condition
betinget, conditional
betinget alternativ utførelse, chained conditional
betinget uttrykk, conditional expression
bruker, user
delstreng, substring
desimaltall, floating point number
eksekverbar, executable 
eksekvere, execute
element, item
tilkobling (filer), file handle
foranderlig, mutable
fortegnelse, dictionary
gjennomgang (av sekvens), traversal
gren (if-/else-), branch
grensesnitt, interface
gui-element, widget
heltall, integer
hendelse, event
hendelsesløkke, event loop
hvis-gren, if branch
if-gren, if branch
indeksering, bracket operator
indeksvariabel, iteration variable
inndata, input
innenhet, input device
innkapsling, encapsulation
instruksjonspeker, program counter
intervall, range
iterasjon, iteration
kall, call/invocation
konnektiv, boolean operator
linjeskrift, newline
listebygger, list comprehension
logisk operator, boolean operator
løkke, loop
løkkevariabel, iteration variable
modus, mode
nøkkel, key
nøkkelord, reserved word
oppslag, lookup
posisjon (i sekvens), index
prikk-notasjon, dot notation
primærlager, main memory
program/skript, program/script
programflyt, flow of execution
programlinje, program line
programsetning, statement
regulært uttrykk, regular expression
resultatfunksjon, fruitful function
resultatverdi, return value
runde, iteration
sammenlikningsoperator, comparison operator
sammensatt (uttrykk/programsetning), compound
sammensatt nøkkel, composite key
sannhetsverdi/logisk verdi, boolean value
segment, slice
sentralenhet, CPU
setning, statement
skjermelement, widget
skop, scope
små (bokstaver),lower case
standardverdi, default (default value)
store (bokstaver), upper case
subklasse, child class
superklasse, parent class
tekstutsnitt/tekstsegment, text slice
tegnstreng/tekstverdi, string
tilordning, assignment
tolk, interpreter
tom funksjon, void function
tom streng, empty string
tuppel, tuple
uendelig løkke, infinite loop
uforanderlig, immutable
utdata, output
utførelse, execution
utføre, execute
utpakking, unpacking/tuple assignment
utsnitt, slice
uttrykk, expression
verdi, value
vinduselement, widget

